Town,Valuation 2011,Town Tax 2011,Local Ed. Tax 2011,State Ed. Tax 2011,County Tax 2011,Total Tax 2011,Total Commitment 2011,Valuation 2020,Town Tax 2020,County Tax 2020,State Ed. Tax 2020,Local Ed. Tax 2020,Total Tax 2020,Total Commitment 2020
Grantham,597556382,3.18,10.76,2.48,2.88,19.3,11532838185,540575946,5.17,2.64,1.89,13.76,23.46,13212045
Green's Grant,4791282,2.65,-2.67,2.38,4.47,6.83,32724457,8057510,0.12,4.99,1.41,-1.39,5.13,41161
Greenfield,184784154,6.38,11.19,2.26,1.09,20.92,3865684517,170277305,8.5,1.06,1.96,15.63,27.15,4596602
Greenland,782212774,2.98,7.56,2.2,1.01,13.75,10755425650,872818300,4.03,0.91,2.0,9.64,16.58,14212852
Greenville,159511535,11.3,6.18,2.23,0.88,20.59,3284342522,120335069,12.52,1.0,1.93,7.72,23.17,2705821
Groton,87440085,3.87,4.73,2.4,1.24,12.24,1070266649,83358715,3.81,2.6,3.79,7.96,18.16,1446059
Hadley's Purchase,0,0.0,0.0,0.0,0.0,0.0,0,1,0.0,0.0,0.0,0.0,0.0,0
Hale's Location,86603283,2.08,-2.0,2.33,0.95,3.36,290987030,80524100,2.45,1.14,1.93,-1.92,3.6,278208
Hampstead,1156985808,3.3,15.58,2.36,1.04,22.28,25777643802,1331881653,2.87,0.87,1.92,15.89,21.55,28296660
Hampton,3178146465,7.13,7.18,2.55,1.07,17.93,56984166117,3790515423,5.92,0.89,2.0,7.12,15.93,59743835
Hampton Falls,503840492,4.15,11.57,2.22,1.02,18.96,9552815747,488152802,3.44,0.94,2.02,14.95,21.35,10341992
Hancock,282873270,5.26,11.38,2.45,1.16,20.25,5728183726,250769628,7.6,1.14,2.01,15.47,26.22,6515772
Hanover,2310475167,4.0,8.95,2.37,1.47,16.79,38792878053,2300746395,4.44,1.81,2.03,10.4,18.68,46282208
Harrisville,247782552,3.96,4.99,2.34,3.31,14.6,3617625259,207756836,5.08,3.78,1.92,6.9,17.68,3662148
Hart's Location,18411354,0.66,4.71,2.55,1.06,8.98,165333958,20706153,0.5,1.06,1.62,3.82,7.0,143912
Haverhill,411897293,5.18,14.74,2.52,1.35,23.79,9799036617,347781001,7.89,1.83,2.01,16.68,28.41,10238624
Hebron,305504758,3.04,0.72,2.45,1.52,7.73,2361551781,268527765,4.46,1.97,2.28,0.89,9.6,2617223
Henniker,449990263,7.24,17.31,2.54,2.91,30.0,13499707911,471798273,9.94,2.56,1.99,16.75,31.24,14673499
Hill,125330820,4.94,9.18,2.45,2.44,19.01,2382538888,94560552,6.17,2.53,1.88,15.11,25.69,2401551
Hillsborough,707482732,7.88,12.14,2.07,0.88,22.97,16250878361,594882788,10.68,1.02,1.81,15.22,28.73,17051769
Hinsdale,432880215,8.83,12.09,2.17,2.91,26.0,11254885597,345539419,8.15,4.17,2.11,19.72,34.15,11482952
Holderness,807809422,2.43,6.96,2.3,1.47,13.16,10630772002,759486515,2.39,1.87,1.98,7.34,13.58,10231434
Hollis,1453220531,5.58,11.9,2.33,1.1,20.91,30386841305,1387997343,5.54,1.13,2.02,14.49,23.18,31953746
Hooksett,1906338885,6.16,10.49,2.36,2.67,21.68,41329427043,2047885829,5.63,2.95,2.0,11.93,22.51,45613526
Hopkinton,757050600,5.06,17.17,2.43,2.88,27.54,20849173528,780889991,6.25,2.57,1.84,18.59,29.25,22865155
Hudson,3403993865,5.18,8.35,2.11,0.98,16.62,56574378039,3179000329,6.14,1.15,2.08,12.0,21.37,66960741
Jackson,451084804,3.45,3.48,2.32,1.0,10.25,4623619246,465927736,4.5,1.16,1.7,3.63,10.99,5403073
Jaffrey,528689088,8.32,13.33,2.42,3.3,27.37,14470220358,520726640,9.54,3.69,2.05,12.25,27.53,14164921
Jefferson,144330829,1.9,9.09,2.59,4.92,18.5,2670120338,130138470,2.19,5.02,2.11,13.23,22.55,2910115
Keene,2177293950,11.78,13.32,2.37,3.35,30.82,67104199539,1849704064,14.81,3.86,2.07,16.54,37.28,68437022
Kensington,403851781,2.61,13.1,2.21,0.95,18.87,7620683120,392294316,3.67,0.88,1.94,14.06,20.55,7995148
Kilkenny,13743,-4.34,0.0,0.0,4.34,0.0,0,19000,-3.05,3.05,0.0,0.0,0.0,0
Kingston,829226449,3.73,13.93,2.13,0.93,20.72,17181572030,849502794,3.88,0.9,1.94,14.16,20.88,17483670
Laconia,2187966925,8.14,8.41,2.55,1.46,20.56,44984599981,2382861491,7.65,1.21,1.92,8.94,19.72,46463006
Lancaster,333227746,7.29,5.02,2.21,4.01,18.53,6174710148,279190339,9.73,4.68,1.89,8.44,24.74,6847718
Landaff,59630381,5.27,8.24,2.29,1.49,17.29,1031009295,51315582,6.74,1.81,1.95,12.64,23.14,1176666
Langdon,70362173,6.66,12.95,2.43,2.95,24.99,1758350720,58110552,5.82,2.72,2.02,16.38,26.94,1541590
Lebanon,2149036614,9.15,11.29,2.34,1.54,24.32,52264570459,2237505225,9.96,1.86,1.99,13.28,27.09,60294391
Lee,477857788,7.03,17.91,2.51,2.67,30.12,14393076580,466532552,6.62,3.12,2.32,19.8,31.86,14749666
Lempster,194110637,5.45,9.09,2.42,3.0,19.96,3874448329,126595269,3.98,3.17,2.28,15.41,24.84,3109116
Lincoln,873815319,4.89,2.53,2.71,1.56,11.69,10214901079,853376509,7.44,2.01,2.22,3.78,15.45,13103943
Lisbon,129521549,11.42,13.33,2.35,1.5,28.6,3704316313,119753896,10.15,1.66,2.08,20.03,33.92,4036317
Litchfield,944069666,3.39,11.16,2.26,1.1,17.91,16908287730,1171886341,3.92,0.96,1.71,11.99,18.58,21471546
Littleton,879546057,6.77,10.08,2.31,1.24,20.4,17942739570,748054458,5.26,2.04,1.65,12.7,21.65,15917877
Livermore,169743,-1.49,-2.32,2.32,1.49,0.0,0,136600,-1.65,1.65,1.93,-1.93,0.0,0
Londonderry,3947952339,4.74,12.45,2.2,0.95,20.34,80301350588,4661377059,4.66,0.86,1.93,12.66,20.11,91635989
Loudon,618755558,4.49,10.68,2.49,2.71,20.37,12604050733,574137271,4.84,2.96,2.26,12.93,22.99,12920543
Low & Burbank's Grant,0,0.0,0.0,0.0,0.0,0.0,0,1,0.0,0.0,0.0,0.0,0.0,0
Lyman,70825444,5.63,9.85,2.35,1.47,19.3,1366931080,74806815,5.66,1.68,1.73,12.35,21.42,1582129
