Town,Valuation 2011,Town Tax 2011,Local Ed. Tax 2011,State Ed. Tax 2011,County Tax 2011,Total Tax 2011,Total Commitment 2011,Valuation 2020,Town Tax 2020,County Tax 2020,State Ed. Tax 2020,Local Ed. Tax 2020,Total Tax 2020,Total Commitment 2020
Barrington,1240527137.85,4.13,11.93,2.28,2.44,20.78,25778153924.523,1157694621,3.69,2.48,1.89,14.71,22.77,25996196
Bartlett,1247168145.6,1.5,5.25,2.63,1.1,10.48,13070322165.887999,1073899013,1.54,1.32,2.14,4.66,9.66,10727392
Bath,175391450.91,3.35,9.52,2.62,1.43,16.92,2967623349.3972,125216843,4.92,1.86,1.94,14.14,22.86,2813489
Bean's Grant,631.8,-4.33,0.0,0.0,4.33,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0
Bean's Purchase,28267.199999999997,-3.24,-2.23,1.89,3.58,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0
Bedford,4601663450.28,4.23,12.9,2.32,1.09,20.54,94518167268.75119,4092109157,4.24,1.07,2.0,12.71,20.02,81292539
Belmont,996181872.66,7.52,10.45,2.35,1.24,21.56,21477681174.5496,734861120,8.34,1.28,2.02,13.7,25.34,18339796
Bennington,155275529.76,9.92,9.91,2.33,1.04,23.2,3602392290.4319997,128652139,10.99,1.02,1.86,15.52,29.39,3731435
Benton,37134406.53,0.06,11.06,2.37,1.57,15.06,559244162.3418001,25642989,-3.92,1.79,2.06,17.97,17.9,455732
Berlin,597149140.77,17.22,8.5,2.2,3.78,31.7,18929627762.409,478007523,19.02,4.63,1.92,10.36,35.93,16819600
Bethlehem,315666468.0,8.9,16.61,2.64,1.72,29.87,9428957399.16,277502024,7.15,1.77,1.9,14.38,25.2,6972306
Boscawen,379116127.26,6.35,10.14,2.14,2.42,21.05,7980394478.823,294189355,8.25,2.55,1.88,14.11,26.79,7780326
Bow,1426226515.74,5.88,15.46,2.7,3.11,27.15,38722049902.340996,1272627173,7.11,2.54,1.89,14.04,25.58,32132445
